gene,fcQuantiles
Suclg2,-1.23
Commd9,-1.23
Pbk,-1.23
1810011H11Rik,-1.23
Edn1,-1.22
Wnt8a,-1.22
Dpp10,-1.22
Fbxl7,-1.22
Olfr554,-1.22
Kcnh8,-1.22
N4bp2,-1.22
Wac,-1.22
Sh3gl2,-1.22
Svip,-1.22
Mettl8,-1.22
Hs3st5,-1.22
Akr1cl,-1.22
Npepl1,-1.22
Sfmbt2,-1.22
Itih5,-1.22
Stx18,-1.22
Gm9008,-1.22
Wbscr17,-1.22
Hpgds,-1.22
Nmur2,-1.22
A530053G22Rik,-1.22
Htra4,-1.22
4930533L02Rik,-1.22
Cd47,-1.22
Efna5,-1.22
1600021P15Rik,-1.22
9430031J16Rik,-1.22
D18Ertd653e,-1.22
Tmem167,-1.22
4930447F04Rik,-1.22
AW146154,-1.22
App,-1.22
Maf,-1.22
Clcn5,-1.22
Jph1,-1.22
Tll1,-1.22
Zwint,-1.22
Skor2,-1.22
2610017I09Rik,-1.22
Gm10287,-1.22
Pirt,-1.22
Cyp17a1,-1.22
9130014G24Rik,-1.22
Sema6a,-1.22
A2ld1,-1.22
Dtwd1,-1.22
Lrrfip2,-1.22
Pstpip2,-1.22
Tcf12,-1.21
Arhgap28,-1.21
Pstpip2,-1.21
Clybl,-1.21
Gm4868,-1.21
Cer1,-1.21
Lhfp,-1.21
Fam26d,-1.21
Hsfy2,-1.21
Tnc,-1.21
Dpp10,-1.21
Nkain2,-1.21
Magi1,-1.21
Pfn2,-1.21
Lhfpl2,-1.21
Gm6657,-1.21
Tal1,-1.21
Tgfbr3,-1.21
Gcet2,-1.21
Hhat,-1.21
Slc6a1,-1.21
Ptbp2,-1.21
Lrrc51,-1.21
B930007M17Rik,-1.21
Olfr138,-1.21
Gbe1,-1.21
Rdh10,-1.21
2410076I21Rik,-1.21
Cdyl,-1.21
Igkv1-115,-1.21
Meis2,-1.21
Foxn3,-1.21
Ext1,-1.21
4930547C10Rik,-1.21
Gramd1c,-1.21
Trim71,-1.21
Itfg3,-1.21
Meis2,-1.21
Pan3,-1.21
Smn1,-1.21
Dner,-1.2
Psd3,-1.2
9430031J16Rik,-1.2
Ippk,-1.2
Tgif2lx1,-1.2
Xkr4,-1.2
Zkscan2,-1.2
Thbs1,-1.2
Nox3,-1.2
Glra1,-1.2
Svil,-1.2
Tmem65,-1.2
4921528O07Rik,-1.2
Baz2b,-1.2
Adrb2,-1.2
Slc26a7,-1.2
Meis2,-1.2
A130050O07Rik,-1.2
Wnt5a,-1.2
Extl3,-1.2
5730522E02Rik,-1.2
Gm16390,-1.2
Cbln2,-1.2
Pdcd10,-1.2
Rpl7a-ps5,-1.2
Cyp1b1,-1.2
Vcam1,-1.2
Srsf5,-1.2
Ntrk2,-1.2
Timd4,-1.2
Tbca,-1.2
Brip1,-1.2
2310046A06Rik,-1.2
Masp1,-1.2
Adamts6,-1.2
Arl4c,-1.2
Cdh18,-1.2
Bdh1,-1.2
Phf3,-1.2
Fhl1,-1.2
Specc1l,-1.2
Incenp,-1.2
Dfna5,-1.2
Olfr339,-1.2
4933404M02Rik,-1.2
Gpc4,-1.2
Gm17316,-1.2
Prdm4,-1.2
Ces1a,-1.2
Fgf14,-1.2
Rab28,-1.2
Zfp618,-1.2
Tnrc6a,-1.2
Kif26b,-1.19
Maml1,-1.19
Sgpp2,-1.19
1700025G04Rik,-1.19
1700021A07Rik,-1.19
Shisa6,-1.19
Pcdh7,-1.19
Epb4.1l2,-1.19
Trdn,-1.19
Stau2,-1.19
Zdhhc21,-1.19
U90926,-1.19
Plekha5,-1.19
A1bg,-1.19
Ttll7,-1.19
1700017G19Rik,-1.19
Hand2,-1.19
St6galnac5,-1.19
Fam134b,-1.19
Sp8,-1.19
AA986860,-1.19
Slc8a1,-1.19
4931417E11Rik,-1.19
Grik2,-1.19
Tns3,-1.19
Mtx2,-1.19
Zranb2,-1.19
Hmgb1,-1.19
Pcdh10,-1.19
Phf14,-1.19
D930015E06Rik,-1.19
Macrod2,-1.19
Amy2a5,-1.19
Poll,-1.19
4930533L02Rik,-1.19
Mmp9,-1.19
Fundc1,-1.19
Atxn7l3b,-1.19
Gm3550,-1.19
Ptpla,-1.19
Asb18,-1.19
Wnt7a,-1.19
Rapgef6,-1.19
Utp18,-1.19
Gramd3,-1.19
4930486L24Rik,-1.19
Stim2,-1.19
Trank1,-1.19
Phyhipl,-1.19
Txndc5,-1.19
Mdm4,-1.19
Gm606,-1.19
Gli3,-1.19
Vstm2b,-1.19
Ptprg,-1.19
Tmem108,-1.19
Frmd7,-1.19
Kl,-1.19
Zeb2,-1.18
Gm4868,-1.18
Kcmf1,-1.18
Timp3,-1.18
Cd44,-1.18
Gm16833,-1.18
C78339,-1.18
Esrrg,-1.18
Fggy,-1.18
Nup35,-1.18
Myh9,-1.18
Thsd4,-1.18
4930546C10Rik,-1.18
Abat,-1.18
Tm9sf2,-1.18
Pfn2,-1.18
Frmpd4,-1.18
Ust,-1.18
Cxcr4,-1.18
Arl15,-1.18
Pgap1,-1.18
Grid2,-1.18
Slco6d1,-1.18
1700015F17Rik,-1.18
Vmn1r77,-1.18
1700017G19Rik,-1.18
Pitpnb,-1.18
Aldh6a1,-1.18
Meis2,-1.18
Gch1,-1.18
Shroom4,-1.18
Pkhd1,-1.18
A330008L17Rik,-1.18
Lrrc4c,-1.18
Ext1,-1.18
Zfp948,-1.18
Asb4,-1.18
Kcnip4,-1.18
Fgf8,-1.18
Efhc1,-1.18
Shisa6,-1.18
Sema6a,-1.18
Lama2,-1.18
Folr4,-1.18
Ppm1d,-1.18
Chst1,-1.18
Gbp2,-1.18
Chic2,-1.18
Ptgdr,-1.18
Ppef2,-1.18
Ncam1,-1.18
Mob4,-1.18
