gene,fcRaw
1810011H11Rik,-1.86
Edn1,-0.79
Wnt8a,-0.79
Dpp10,-0.81
Fbxl7,-0.84
Olfr554,-0.94
Kcnh8,-0.98
N4bp2,-0.9
Wac,-0.88
Sh3gl2,-0.9
Svip,-0.86
Mettl8,-1.03
Hs3st5,-0.87
Akr1cl,-0.95
Npepl1,-0.98
Sfmbt2,-0.98
Itih5,-1.03
Stx18,-1.08
Gm9008,-1.07
Wbscr17,-0.97
Hpgds,-1.11
Nmur2,-1.14
A530053G22Rik,-1.09
Htra4,-0.96
4930533L02Rik,-1.1
Cd47,-1.17
Efna5,-1.14
1600021P15Rik,-1.25
9430031J16Rik,-1.18
D18Ertd653e,-1.36
Tmem167,-1.3
4930447F04Rik,-1.27
AW146154,-1.19
App,-1.76
Maf,-1.47
Clcn5,-1.48
Jph1,-1.54
Tll1,-1.57
Zwint,-1.44
Skor2,-1.44
2610017I09Rik,-1.36
Gm10287,-1.42
Pirt,-1.62
Cyp17a1,-1.2
9130014G24Rik,-1.89
Sema6a,-1.85
A2ld1,-1.74
Dtwd1,-2.06
Lrrfip2,-2.01
Pstpip2,-1.44
Tcf12,-0.81
Arhgap28,-0.82
Pstpip2,-0.81
Clybl,-0.83
Gm4868,-1.07
Cer1,-0.9
Lhfp,-0.84
Fam26d,-0.88
Hsfy2,-0.88
Tnc,-0.88
Dpp10,-0.86
Nkain2,-0.85
Magi1,-0.89
Pfn2,-0.94
Lhfpl2,-0.88
Gm6657,-0.96
Tal1,-1.02
Tgfbr3,-1.01
Gcet2,-1.07
Hhat,-0.88
Slc6a1,-1.07
Ptbp2,-1.16
Lrrc51,-1.2
B930007M17Rik,-1.12
Olfr138,-1.1
Gbe1,-1.11
Rdh10,-1.13
2410076I21Rik,-1.17
Cdyl,-1.18
Igkv1-115,-1.21
Meis2,-1.11
Foxn3,-1.13
Ext1,-1.51
4930547C10Rik,-1.37
Gramd1c,-1.16
Trim71,-1.51
Itfg3,-1.33
Meis2,-1.33
Pan3,-1.39
Smn1,-1.55
Dner,-0.77
Psd3,-0.74
9430031J16Rik,-0.79
Ippk,-0.82
Tgif2lx1,-0.85
Xkr4,-0.8
Zkscan2,-0.84
Thbs1,-0.85
Nox3,-0.83
Glra1,-0.85
Svil,-0.91
Tmem65,-0.95
4921528O07Rik,-0.93
Baz2b,-0.89
Adrb2,-0.97
Slc26a7,-0.97
Meis2,-1.01
A130050O07Rik,-1.01
Wnt5a,-1.04
Extl3,-1.01
5730522E02Rik,-1.13
Gm16390,-1.04
Cbln2,-1.05
Pdcd10,-1
Rpl7a-ps5,-1.06
Cyp1b1,-1.06
Vcam1,-1.13
Srsf5,-0.94
Ntrk2,-1.09
Timd4,-1.13
Tbca,-1.04
Brip1,-1.08
2310046A06Rik,-1.07
Masp1,-1.23
Adamts6,-1.23
Arl4c,-1.26
Cdh18,-1.33
Bdh1,-0.99
Phf3,-1.46
Fhl1,-1.45
Specc1l,-1.25
Incenp,-1.31
Dfna5,-1.31
Olfr339,-1.47
4933404M02Rik,-1.44
Gpc4,-1.67
Gm17316,-1.89
Prdm4,-1.22
Ces1a,-1.49
Fgf14,-1.72
Rab28,-2
Zfp618,-2.63
Tnrc6a,-1.24
Kif26b,-0.76
Maml1,-0.79
Sgpp2,-0.81
1700025G04Rik,-0.82
1700021A07Rik,-0.8
Shisa6,-0.84
Pcdh7,-0.9
Epb4.1l2,-0.8
Trdn,-0.86
Stau2,-0.98
Zdhhc21,-1.06
U90926,-0.85
Plekha5,-0.89
A1bg,-0.93
Ttll7,-0.94
1700017G19Rik,-0.93
Hand2,-0.98
St6galnac5,-1
Fam134b,-0.98
Sp8,-1.04
AA986860,-0.97
Slc8a1,-0.99
4931417E11Rik,-1.09
Grik2,-1.13
Tns3,-1.01
Mtx2,-1.08
Zranb2,-1.07
Hmgb1,-1.02
Pcdh10,-1.15
Phf14,-1.05
D930015E06Rik,-0.99
Macrod2,-1.13
Amy2a5,-1.07
Poll,-1.05
4930533L02Rik,-1.21
Mmp9,-0.98
Fundc1,-1.27
Atxn7l3b,-1.17
Gm3550,-1.33
Ptpla,-1.25
Asb18,-1.03
Wnt7a,-1.1
Rapgef6,-1.17
Utp18,-1.15
Gramd3,-1.21
4930486L24Rik,-1.39
Stim2,-1.32
Trank1,-1.55
Phyhipl,-1.17
Txndc5,-1.4
Mdm4,-1.21
Gm606,-1.73
Gli3,-1.96
Vstm2b,-1.59
Ptprg,-1.71
Tmem108,-1.41
Frmd7,-3.22
Kl,-2.04
Zeb2,-0.75
Gm4868,-0.79
Kcmf1,-0.78
Timp3,-0.78
Cd44,-0.94
Gm16833,-0.93
C78339,-0.93
Esrrg,-0.89
Fggy,-0.92
Nup35,-0.92
Myh9,-0.85
Thsd4,-0.98
4930546C10Rik,-0.96
Abat,-0.95
Tm9sf2,-1
Pfn2,-1.04
Frmpd4,-1
Ust,-1.21
Cxcr4,-1.02
Arl15,-1.01
Pgap1,-1.09
Grid2,-1.15
Slco6d1,-1.12
1700015F17Rik,-1.14
Vmn1r77,-1.15
1700017G19Rik,-1.29
Pitpnb,-1.1
Aldh6a1,-1.13
Meis2,-1.15
Gch1,-1.17
Shroom4,-1.11
Pkhd1,-1.18
A330008L17Rik,-1.26
Lrrc4c,-1.47
Ext1,-1.26
Zfp948,-1.3
Asb4,-1.19
Kcnip4,-1.5
Fgf8,-1
Efhc1,-1.16
Shisa6,-1.36
Sema6a,-1.43
Lama2,-1.44
Folr4,-1.63
Ppm1d,-1.43
Chst1,-1.59
Gbp2,-1.2
Chic2,-1.15
Ptgdr,-1.7
Ppef2,-1.22
Ncam1,-1.39
Mob4,-1.76
