gene,logFC(Z6/E14Tg2a),logFC(OKO160/E14Tg2a),logFC(Z6/OctGip),logFC(OKO160/OctGip)
Mrpl18,-0.1317,0.2728,-0.0802,0.3243
Stox2,-0.0501,-0.0292,-0.0681,-0.0472
Phospho1,0.036,0.0582,0.0149,0.037
Gm5447,0.0766,0.0193,0.0381,-0.0193
Ttyh3,-0.0643,-0.0729,0.0065,-0.0021
Susd3,-0.0208,-0.0418,0.0247,0.0037
Sh3bgr,-0.0483,-0.0345,-0.0012,0.0126
Zc4h2,-0.2049,-0.2916,-0.2208,-0.3075
AC131065.2,-0.1265,0.1175,-0.132,0.112
Atp5j2,0.0628,0.0747,0.0417,0.0536
4732465J04Rik,0.0314,0.0257,0.0342,0.0285
Ifitm2,-0.0964,-0.0698,-0.5661,-0.5396
AC153937.2,-0.0373,0.0958,-0.0603,0.0727
Ppat,0.1881,0.2568,0.0393,0.108
AC117602.1,-0.0465,0.0273,-0.0417,0.0322
Arl16,0.2272,-0.0509,0.1887,-0.0893
Slc39a4,0.8688,1.3578,0.4552,0.9441
Aurkb,0.0225,-0.0176,0.1395,0.0994
Atg4b,-0.0956,-0.074,0.0287,0.0503
Mgea5,-0.0375,0.4389,0.2856,0.762
Idh3a,-0.0863,0.2184,-0.0151,0.2896
Rag1ap1,0.2297,0.0262,0.2735,0.07
Chrna6,0.0734,0.0539,0.0104,-0.0091
Ifitm5,-0.0503,-0.0448,-0.1281,-0.1226
Mt2,-0.0458,0.3661,0.2292,0.641
Fgf1,-0.0938,-0.0554,-0.0671,-0.0287
Ms4a5,-0.018,-0.0353,-0.0482,-0.0655
Foxn2,0.0168,0.0508,0.0636,0.0977
Ube2cbp,-0.077,0.0129,-0.0962,-0.0064
Vwa5b2,0.004,-0.0126,-0.0109,-0.0275
Mettl13,-0.0624,0.0242,-0.0621,0.0245
Acot12,0.0206,0.0015,0.0048,-0.0142
AC134329.1,-0.031,-0.056,-0.0235,-0.0485
Car1,-0.0584,-0.0409,-0.0765,-0.059
Ugdh,-0.0401,0.0118,-0.0536,-0.0017
Arhgef6,0.0676,-0.0542,0.1065,-0.0153
Chl1,-0.0526,-0.0626,0.0151,0.0052
Fam122a,0.0292,0.0368,-0.0298,-0.0223
Nkx2-4,-0.1159,-0.1572,-0.0345,-0.0758
Exosc10,0.0231,0.2114,0.0695,0.2578
Fam96b,0.1429,-0.0783,0.2933,0.0721
2810055F11Rik,-0.0383,-0.0316,-0.0755,-0.0687
Sf3a1,0.0516,0.107,0.0387,0.0941
Rab36,-0.0168,0.0107,-0.025,0.0026
Larp4,-0.2202,-0.1921,-0.0993,-0.0711
St14,0.0697,-0.0822,-0.0026,-0.1546
Limk1,0.0403,0.0189,0.0613,0.0398
Dopey2,0.1069,0.1073,0.0945,0.095
Rap1a,-0.0017,-0.0031,-0.021,-0.0223
Apon,0.003,0.0621,-0.0165,0.0425
Egflam,0.0326,0.0154,0.0379,0.0207
Mapk15,0.0334,0.0554,-0.0092,0.0128
Scnn1a,-0.0312,-0.0199,0.0428,0.0541
Plp2,-0.2747,-0.3065,-0.2173,-0.2491
Hus1b,-0.0479,-0.0511,-0.0096,-0.0127
Pdcd2l,-0.1227,-0.1026,-0.1968,-0.1767
Tgm4,0.0409,0.0819,0.0209,0.0619
Gp1bb,-0.0039,5.61E-04,-0.0347,-0.0302
AC113015.3,0.0373,0.0768,-0.0544,-0.015
AI854703,0.0423,0.0234,0.0378,0.0189
Ccdc137,-0.217,-0.1163,-0.0929,0.0079
Bank1,0.0213,0.0545,0.0248,0.058
Olfr159,-0.1153,-0.0683,-0.0282,0.0188
Prmt6,0.1257,0.1752,0.0848,0.1343
Crispld1,-0.0488,0.0263,0.0114,0.0865
CT025653.3,0.1138,0.0824,0.1322,0.1008
Pcdh19,-0.0202,0.0599,-0.0169,0.0632
Hsf2,-0.3684,-0.3544,-0.0626,-0.0486
Slc12a9,-0.0491,-0.0662,-0.0254,-0.0425
Olfr55,-0.0216,0.0419,-0.0217,0.0418
Gm672,0.0335,0.0874,0.003,0.057
Tmem170,0.0911,0.0333,0.0697,0.0119
1810049H13Rik,0.1695,0.2837,0.17,0.2842
Wdr4,-0.0132,0.0945,-0.0488,0.0589
Olfr996,-0.0261,0.0137,-0.0754,-0.0356
Twist1,-0.2202,-0.1739,-0.0947,-0.0483
Mrgprh,-0.0194,0.0244,-0.0377,0.0062
AC142115.1,0.051,0.0466,0.0364,0.032
AC166172.1,-0.0643,-0.049,-0.0474,-0.0322
Fstl1,-1.3603,-1.3121,-1.0934,-1.0452
1700094C09Rik,0.002,0.0041,0.0039,0.0059
Anubl1,-0.0469,-0.0569,-0.01,-0.02
Nmbr,-0.0404,-0.0104,-0.0404,-0.0104
Nr2f2,-0.0481,-0.0309,-0.0216,-0.0044
Bves,0.0554,-0.0634,0.037,-0.0818
Cdca3,0.5297,0.4816,0.4261,0.3781
Bcap31,0.3492,0.3046,0.3229,0.2784
Rs1,-0.0146,0.0284,0.0233,0.0663
Sra1,-0.0052,0.0234,-0.024,0.0047
Angptl7,5.31E-04,0.0403,-0.0098,0.0299
AC157914.2,-0.648,-0.6483,-0.0283,-0.0285
AC158366.3,-0.056,-0.0021,-0.0047,0.0492
2410075B13Rik,-0.1881,0.3055,-0.3007,0.1929
Tmprss6,-0.0334,-0.041,-0.0143,-0.0219
Ferd3l,-0.016,-0.0252,-0.0109,-0.0201
Pde6g,0.0811,0.0226,0.0393,-0.0193
Wdr81,-0.1228,-0.0295,-0.0488,0.0445
Cenpk,0.0536,0.0735,-0.0061,0.0138
Lass1,-1.2344,-0.9073,-1.4744,-1.1473
Serpina3f,0.0579,0.0394,0.0067,-0.0118
Pde6h,-0.0316,-0.0449,0.0149,0.0016
Cbr3,-0.9948,-0.6841,-0.4282,-0.1175
Serpinb13,-0.0274,-0.05,0.0102,-0.0124
Olfr845,-0.0309,-0.0226,-0.0652,-0.0569
Map2k6,-0.1144,-0.1824,0.0877,0.0198
Rltpr,0.0681,0.0552,0.0249,0.012
AC157914.3,-0.0046,0.025,-0.0271,0.0024
Car13,0.5323,-0.0052,0.546,0.0085
Il11,0.0287,-0.0919,0.0658,-0.0548
AC111044.1,-0.2534,-0.231,0.0757,0.098
Cdc42ep3,-0.1403,0.0992,-0.0889,0.1506
Spred2,0.0411,0.0619,-0.0409,-0.0201
Mxi1,-0.1165,-0.1659,0.0542,0.0047
4833423E24Rik,-0.0527,-0.0367,-0.0127,0.0033
Olfr731,0.0224,0.0025,0.0173,-0.0026
1700001K23Rik,0.0058,-0.0051,-0.0284,-0.0392
Olfr995,0.0267,-0.0399,0.0262,-0.0404
Ptprd,-0.05,-0.0813,-0.0558,-0.0872
Pkd2l1,0.2249,-0.0383,0.1959,-0.0673
Socs1,-0.0308,-0.0144,-0.0723,-0.056
Arrdc4,0.3696,-0.1139,0.2265,-0.2571
Atp8a2,0.0503,0.087,0.0016,0.0383
Olfr994,0.0068,-0.0138,0.0313,0.0106
Prr14,0.2994,0.2355,0.1311,0.0671
Cntn1,-0.031,-0.0338,-0.0307,-0.0335
Olfr993,-0.0385,-0.0673,-0.0104,-0.0392
Rab31,-0.5489,-0.1922,-0.5582,-0.2014
Far2,0.0169,0.033,-0.0035,0.0126
Esrrb,0.2597,0.4526,0.4455,0.6384
Zfp780b,0.0151,0.0232,0.0274,0.0355
C3,-0.0134,-0.0169,-0.0681,-0.0716
Olfr992,-0.0097,6.29E-05,0.0377,0.0475
Kif24,0.0575,0.0641,-0.0121,-0.0055
4932429P05Rik,0.0137,0.0049,0.0119,0.0031
Zfyve27,-0.0739,-0.0556,0.1014,0.1197
Anxa11,-0.444,-0.3226,-0.1932,-0.0718
Olfr1353,-7.64E-04,-0.0301,0.069,0.0396
Piwil4,-0.0222,-0.0721,0.0294,-0.0204
Mecp2,0.0732,0.1764,0.0441,0.1473
Bap1,-0.0985,-0.1463,-0.0798,-0.1276
Gmppb,-0.1352,-0.0258,-0.1136,-0.0042
Xpo7,-0.129,0.121,-0.1193,0.1307
Nrgn,-0.065,-0.0393,-0.0677,-0.042
Gm867,-0.0535,0.0535,0.021,0.1279
Bin3,0.0234,0.0307,0.0308,0.0381
Gjb4,0.1537,0.294,0.1662,0.3064
Usp20,0.0067,0.0319,-0.0446,-0.0193
Il1rap,0.0141,0.027,-0.0518,-0.0389
Slc39a10,-0.2527,-0.1774,-0.1836,-0.1084
Dnahc8,-0.1746,-0.1338,-0.2584,-0.2176
Nrk,0.0067,-0.0587,0.0896,0.0242
AC159815.1,0.0464,-0.0466,0.1438,0.0508
Smad7,0.0252,0.0408,0.0032,0.0188
Cpne6,0.1012,0.0137,0.1015,0.014
Gpr135,0.0431,0.0238,0.0288,0.0095
Ola1,-0.1092,-0.3373,0.1576,-0.0706
Mt3,-0.2252,-0.1096,0.0012,0.1168
Wwtr1,-0.1698,-0.4508,0.1162,-0.1648
1110007C09Rik,0.0318,-0.0349,0.0573,-0.0094
Ccdc93,0.0341,-0.1193,0.0409,-0.1124
C030014I23Rik,0.022,0.0509,0.0185,0.0474
Armcx3,-0.0142,-0.0678,-0.0298,-0.0834
AC154517.2,-0.2681,-0.4245,-0.2806,-0.437
BX571729.3,-0.0259,0.0653,-0.0875,0.0037
Pitpnm3,0.0873,0.0583,0.0078,-0.0211
AC156939.1,-0.4638,-0.4924,-0.1963,-0.225
AU022252,0.0825,-0.1281,0.2408,0.0302
Pcca,-0.1017,-0.4719,0.1186,-0.2516
Kctd17,-0.0224,-0.1772,-0.0163,-0.1711
RP23-166A1.1,0.012,0.0287,0.0519,0.0687
Thsd7b,0.0183,-0.0278,-0.0048,-0.051
Stk36,0.1919,0.0928,0.109,0.0099
Scara3,-0.0531,-0.1463,-0.0135,-0.1067
Tesk1,-0.2334,-0.3578,0.0621,-0.0623
Hist1h2bp,1.0424,1.1256,0.153,0.2362
Neto1,-0.0437,0.0511,-0.004,0.0908
A730017C20Rik,0.005,-0.0476,0.0324,-0.0201
Cpb2,0.0625,0.0738,-0.0189,-0.0076
Tex9,0.0328,-0.2424,-0.0039,-0.279
Olfr730,-0.0208,-0.0253,-0.0108,-0.0153
Akap8,-0.2006,-0.1284,-0.1063,-0.0341
AC154759.2,0.3808,0.8913,0.3405,0.851
2810046L04Rik,-0.4605,-0.354,-0.2962,-0.1898
Tfdp1,-0.1384,0.1883,-0.2328,0.0939
Pcdh9,-0.0669,-0.0343,-0.0803,-0.0477
Trmt1,-0.0167,-0.0576,0.0162,-0.0247
Stk32b,-0.0548,-0.0174,-0.0326,0.0049
Hdc,0.1848,-0.0817,-0.062,-0.3285
Hist1h2an,0.1116,0.2091,-0.016,0.0815
Stox1,-0.1052,-0.1686,-0.1116,-0.175
Gnb2l1,0.0802,-0.2389,0.2354,-0.0837
Xrn2,-0.0242,-0.1096,0.0495,-0.0359
Tctex1d4,-0.0649,-0.016,-0.0413,0.0075
Sox1,-0.0515,0.0093,0.0162,0.0771
Syvn1,-0.0249,0.027,-0.1844,-0.1326
Ptchd1,-0.0314,-0.0539,0.0045,-0.018
Dnm3os,0.0373,0.0768,-0.0544,-0.015
2900010M23Rik,0.0593,0.1944,-0.0123,0.1228
Cbr1,-0.2249,-0.3795,-0.116,-0.2705
Qpct,0.027,0.1716,0.0467,0.1912
Necab1,0.0089,0.0442,-0.0167,0.0186
6330503K22Rik,-0.3074,-0.2373,-0.0977,-0.0275
Ms4a1,0.0441,0.1079,-0.0686,-0.0047
4930430D24Rik,0.0392,0.0187,0.0246,0.0041
Bud13,0.1221,0.024,-0.0059,-0.1039
Ndufb4,0.3258,0.2027,0.3552,0.2321
Ubxn11,0.0921,0.1855,0.2047,0.298
Galnt7,0.0337,-0.0394,0.0429,-0.0303
Mmp19,-0.0146,-0.0095,-0.0214,-0.0164
3110001D03Rik,0.032,0.2676,0.0971,0.3327
Taar1,0.0951,0.0891,0.029,0.023
Tmem42,-0.1236,-0.1373,-0.0278,-0.0414
Pkd1l3,0.0183,0.0163,0.0126,0.0106
Arf3,0.2233,0.386,0.1005,0.2633
Eapp,0.0937,0.0163,0.0457,-0.0317
Trip6,-0.1934,-0.1545,-0.1822,-0.1433
Trpm8,-0.0294,-0.0611,-0.0017,-0.0335
Marveld1,0.1237,0.0444,0.0257,-0.0536
Tex14,0.0218,-0.1835,0.0158,-0.1895
A230050P20Rik,0.0302,0.1479,-0.0777,0.04
6530418L21Rik,0.0171,0.0395,-0.0345,-0.0122
Tnks,-0.0247,0.0175,-0.003,0.0393
BC030307,0.0172,0.0843,0.0366,0.1036
Smcp,0.0317,0.0557,-0.0119,0.0121
Dpm3,0.2004,0.1957,0.0686,0.0639
Adssl1,0.5083,0.2408,0.4888,0.2213
Ppp2r2a,-0.0399,0.1022,-0.0893,0.0529
A2m,0.2,-0.025,0.2026,-0.0224
Hipk2,0.0246,0.0489,0.0083,0.0326
Twistnb,-0.0806,-0.031,0.0532,0.1028
3110040N11Rik,0.1418,0.2026,0.2126,0.2734
0610010F05Rik,-0.0069,-0.2877,0.1524,-0.1284
Msrb2,0.0165,-0.0711,-0.1304,-0.218
CR974586.2,0.0438,0.0458,0.0718,0.0738
Eif4e2,0.2018,0.3297,0.1718,0.2996
1110032A13Rik,0.134,0.3302,0.0306,0.2268
Enpp4,0.0083,0.2819,0.2005,0.474
Pigq,-0.0019,-0.1121,0.0631,-0.0471
Gm4832,-0.2105,-0.3342,0.1118,-0.0119
Hist1h3i,1.2861,1.2522,0.2515,0.2175
AC158155.1,-0.2926,-0.3013,-0.13,-0.1386
Cib2,0.0124,-0.2087,-0.0301,-0.2511
Eif4h,0.0792,0.0709,-0.0011,-0.0094
Nudt4,0.2658,0.1045,0.4017,0.2404
Txndc2,-0.0766,-0.0623,-0.0664,-0.0521
Lfng,-0.0465,0.0273,-0.0417,0.0322
2310008H04Rik,-0.1806,-0.2506,-0.1345,-0.2045
Gm5591,0.0903,0.0454,0.0254,-0.0195
Npm3,0.0887,0.6019,0.2499,0.763
Mas1,-0.0062,0.0169,-0.0652,-0.0422
1110002B05Rik,-0.2625,-0.0578,-0.1443,0.0604
D17Ertd663e,-0.0062,0.0178,-0.0769,-0.0529
CT030636.1,-0.0129,0.0086,-0.0517,-0.0302
Ccdc157,0.05,-0.0586,0.081,-0.0276
Gm7819,0.0392,0.02,0.01,-0.0092
Slc27a2,-1.0261,-0.7023,-0.9409,-0.6172
Fam64a,0.0856,0.0272,0.0564,-0.0021
Tspan10,0.0101,0.0067,-0.0097,-0.013
Gm3893,0.0392,0.02,0.01,-0.0092
Tex13a,0.0126,-0.0242,0.0094,-0.0275
Def8,0.0069,-0.0592,0.0306,-0.0355
Diablo,-0.05,-0.0604,-0.0583,-0.0687
Slc18a1,0.006,-0.0111,0.0231,0.006
BC003267,-0.0252,-0.0167,-0.013,-0.0046
Tymp,-0.0708,-0.0689,-0.014,-0.012
Pvrl1,4.09E-04,0.1898,-0.0099,0.1794
Prl2c3,0.0665,0.0861,0.0228,0.0424
Sufu,-0.224,-0.1147,-0.1943,-0.085
Tmem50b,0.0334,-0.0292,0.0462,-0.0164
Ankmy1,1.0906,1.1807,0.1118,0.2018
Cdkn2d,-0.1155,-0.0012,-0.0655,0.0488
Zfp143,0.1243,0.0578,-0.0345,-0.101
Ruvbl1,0.1675,0.3501,-0.0562,0.1264
Efcab10,-0.0103,-0.013,-0.0106,-0.0133
Ppif,-0.1177,-0.1911,0.0214,-0.052
Chchd10,6.43E-05,0.0877,0.0622,0.1499
AC124134.1,0.0257,0.0672,0.0077,0.0492
Tbl1xr1,-0.0399,0.1083,0.0414,0.1896
Ccdc23,0.4167,0.2688,0.2976,0.1497
Thap4,0.1498,0.0289,0.3027,0.1818
Whrn,0.0532,0.4768,0.0905,0.514
1500032L24Rik,0.1052,0.1479,0.0981,0.1408
Spopl,0.0048,0.0308,0.0232,0.0492
Ppp1r3c,0.0168,-0.003,-0.019,-0.0388
Phf7,0.1635,0.1203,0.0204,-0.0228
Olfr813,0.043,0.0604,0.03,0.0475
Ncrna00153,0.2089,-0.0598,0.0721,-0.1966
Ssxb2,-0.0068,0.0201,0.0057,0.0326
Tsga14,0.0905,0.0826,0.0743,0.0664
Sec22a,-0.0256,-0.1692,0.0372,-0.1064
Olfr988,0.0504,0.0575,0.0241,0.0312
Pou4f1,-0.0878,0.3909,0.0856,0.5643
Btbd19,0.0931,0.3045,-0.0734,0.138
Atxn3,0.2359,0.3453,0.1161,0.2255
Cib1,0.2496,0.2692,0.2569,0.2766
Olfr1500,-0.0498,0.005,-0.0285,0.0263
Kctd20,0.0252,-0.0715,0.0359,-0.0609
Dalrd3,0.0672,0.3013,0.14,0.3741
Sntg1,-0.054,-0.0816,-0.0054,-0.0331
Adck4,0.0477,0.0868,-0.0085,0.0306
Ms4a13,-0.0246,-0.0219,-0.0124,-0.0097
Gm5458,0.0238,-0.0308,-0.0198,-0.0744
Asb12,-0.0191,-0.0314,0.0195,0.0071
Pop4,0.0934,0.0424,0.0217,-0.0293
Olfr843,0.0158,0.0074,0.0111,0.0027
Nostrin,-0.5072,-0.6504,0.0385,-0.1047
Fam169a,-0.1429,0.2219,-0.2746,0.0902
Cga,-0.0551,0.0217,-0.0395,0.0373
Ate1,-0.0044,0.2736,0.0251,0.303
Ikzf1,0.0031,-0.0728,0.01,-0.0659
Shisa2,-0.0949,0.0417,-0.127,0.0097
Mov10l1,0.1978,0.1587,0.1666,0.1275
Mar-11,0.0562,0.0623,-0.0084,-0.0023
CAAA01179078.1.20098.1,-0.0635,-0.0719,0.0265,0.0181
rp9,0.0469,-0.0968,0.1945,0.0508
1110020C17Rik,-0.0252,0.0275,-0.0668,-0.0141
CT030166.3,-0.0143,-0.0373,0.0218,-0.0012
Gnaz,0.1914,-0.1235,-0.0586,-0.3734
Ppp2r1b,-0.1061,-0.0831,-0.1118,-0.0888
Cd52,0.0956,0.0606,0.0448,0.0097
Gje1,0.0143,0.0354,0.0249,0.046
AC119271.1,0.0056,0.0198,-0.0044,0.0099
Serpina3c,0.0617,0.0173,0.0643,0.02
Emr4,-0.001,0.0254,0.0026,0.029
Slc30a6,-0.4169,0.0896,-0.5644,-0.0578
Mobp,0.0367,0.0446,-0.0397,-0.0318
Olfr729,-0.0021,0.0083,0.0312,0.0416
Clec2l,-0.0785,-0.0404,-0.0064,0.0316
Zfp185,0.0634,-0.1235,0.1285,-0.0584
2810416G20Rik,0.1182,0.0504,0.0221,-0.0458
Grifin,0.1047,0.029,0.0984,0.0227
Nploc4,-0.0357,-0.0796,0.0272,-0.0166
Gm5922,0.0474,0.0308,0.0401,0.0235
Popdc3,0.0483,-0.0498,0.0028,-0.0953
Olfr1499,-0.03,-0.0369,0.0225,0.0156
Tmem55a,-0.3301,-0.6821,0.026,-0.3259
Egr3,0.0185,0.0817,-0.0352,0.0279
Ltbr,0.0118,-0.0454,0.0554,-0.0018
Kng2,-0.1224,-0.1413,-0.141,-0.1599
Olfr987,-0.0209,0.0025,-0.0263,-0.0029
Hist1h1b,0.0578,0.1179,-0.0803,-0.0201
Abcb4,-0.006,0.0205,0.0304,0.0569
Letm2,-0.0129,-0.0301,-0.0214,-0.0386
AC122428.5,-0.1624,-0.0814,-0.1044,-0.0234
Pex11b,-0.0014,-0.0827,0.0189,-0.0624
Ap2a1,-0.0539,-0.0583,-0.0072,-0.0117
AC164110.1,-0.0517,-0.0017,-0.0384,0.0116
Tia1,-0.2929,-0.1055,-0.3115,-0.1241
Smpd3,0.0203,-0.0396,0.047,-0.013
Abca5,-0.007,0.0435,-0.0195,0.0309
Mynn,-0.0044,0.0564,-0.0223,0.0386
Mt4,-0.0997,-0.0443,-0.0358,0.0196
2310003H01Rik,0.1463,0.0527,-0.004,-0.0975
Gm5168,-0.0259,0.0653,-0.0875,0.0037
Athl1,0.0105,0.0344,0.0046,0.0285
AC098722.1,-0.0186,-0.3126,-0.05,-0.344
D930049A15Rik,-0.0342,-0.0112,-0.0494,-0.0264
Riok2,0.0125,0.0123,-0.0398,-0.0399
Ewsr1,0.0442,0.0764,-0.0342,-0.002
Eml2,0.0237,0.0617,0.0306,0.0685
Madd,0.0222,0.0654,0.0011,0.0443
Nagpa,0.0515,0.2192,0.0063,0.174
Plrg1,0.041,-0.0057,0.1329,0.0862
Lifr,-0.0491,-0.0485,-0.0369,-0.0363
Adamts19,-0.0796,-0.1418,-0.1393,-0.2015
Olfr938,0.0426,0.0342,0.0298,0.0214
Rad51c,0.1892,-0.1431,0.2698,-0.0625
Rbm42,0.2059,0.1736,0.1995,0.1671
1810022K09Rik,0.0875,-0.1309,0.1904,-0.028
Chst12,-0.0334,-0.1432,0.0104,-0.0995
Rab23,0.0553,0.0483,-0.02,-0.0271
Gnrhr,-0.0073,-0.0154,-0.0151,-0.0231
Fscn2,-0.0231,0.0393,-0.0359,0.0265
Npm2,0.0527,-0.0268,0.0616,-0.0179
1700025F22Rik,-0.0405,-0.0599,0.0313,0.0119
2310046O06Rik,-0.1052,-0.0185,-0.0669,0.0199
4833424O15Rik,-0.0213,-0.0476,-0.0378,-0.0642
Ubxn7,-0.0437,0.0089,-0.0367,0.0159
0610009L18Rik,0.0014,0.0465,0.0536,0.0986
Lca5l,0.0167,0.0516,-0.0262,0.0087
1700030F18Rik,-0.0423,0.0244,-0.0573,0.0094
Olfr1497,0.0033,-0.0243,-0.0245,-0.0521
Olfr8,-0.0276,-0.0207,0.0211,0.028
1700001G17Rik,0.0527,-0.002,0.0203,-0.0344
Hbs1l,-0.0851,-0.0938,-0.0073,-0.0161
Slc5a10,0.0299,0.0143,-0.0232,-0.0389
Rdh8,0.0356,-0.0075,-0.0243,-0.0674
Gm2897,0.0238,-0.0308,-0.0198,-0.0744
Hist1h2bn,0.6924,0.7458,0.1149,0.1683
Nxph2,0.0273,0.0476,0.0085,0.0288
Fam71e2,-0.0555,-0.0898,0.0225,-0.0118
Enpp6,0.0277,0.0151,0.0088,-0.0038
Fam123b,-0.1074,-0.096,-0.0632,-0.0517
Eif3a,-0.0736,-0.1523,0.0239,-0.0547
Sema3g,-0.0469,-0.0643,-0.0189,-0.0363
Gna11,0.0208,-0.0245,0.2211,0.1758
Arpm1,-0.0556,-0.0556,-4.30E-04,-4.46917153434256E-4
Prom1,0.0672,0.063,0.0159,0.0117
Rcl1,-0.1472,-0.2199,-0.0423,-0.115
Lrrc55,0.0339,0.0064,0.0577,0.0301
Lass6,-0.0444,-0.0619,-0.0435,-0.061
Gpc1,-0.1056,-0.1982,-0.2594,-0.3519
Prdm14,0.2473,0.2504,0.2254,0.2285
Arrdc2,0.0427,0.0242,0.0084,-0.0101
Ttll12,0.0085,-0.1195,-0.1061,-0.2341
Nrbp1,-9.46E-04,-0.1161,0.0068,-0.1084
Rlim,-0.2555,-0.6769,-0.356,-0.7774
Pctk1,0.0284,0.1037,0.1587,0.234
Hsd17b14,-0.2552,-0.0087,-0.3172,-0.0708
Gjb3,0.9324,0.8447,1.1275,1.0398
C330027C09Rik,0.0408,0.0725,-0.0302,0.0015
Dbn1,-0.0783,0.0132,-0.076,0.0155
Smc1b,0.283,0.1413,0.1787,0.037
Sh2d7,-0.0145,-0.0107,0.0089,0.0127
BC005624,0.0082,0.0769,-0.0792,-0.0104
Adnp2,-0.0416,-0.1024,-0.0135,-0.0743
4930512M02Rik,-0.0116,-0.0211,0.024,0.0145
AC114619.1,0.0668,0.0958,0.0293,0.0584
Klhl22,0.0421,-0.0302,0.0177,-0.0545
Osmr,-0.0567,-0.0476,-0.0685,-0.0595
Pet2,0.0718,0.0238,0.0116,-0.0364
Try5,-0.0707,-0.0468,-0.0379,-0.014
Vwa5b2,0.0419,0.0982,0.0021,0.0584
Klf4,0.6049,0.4307,0.6165,0.4423
Obfc1,0.0196,0.0707,-0.0215,0.0296
Vnn1,0.0237,0.0204,-0.0012,-0.0044
Sox5,0.0414,0.0611,0.017,0.0367
Gja4,0.1013,0.0671,0.162,0.1278
Ghrl,0.0166,-0.0349,0.0531,0.0015
Exoc2,0.0389,-0.0189,-0.0064,-0.0642
Nlrp6,0.0103,0.0535,-0.0632,-0.0201
Nup205,-0.1081,-0.1947,-0.1716,-0.2582
Vapa,-0.1871,-0.1564,-0.0135,0.0172
Csnk1e,0.416,0.5585,0.6392,0.7817
Atp8b4,0.026,0.0051,-0.0143,-0.0352
Ptprr,0.0658,0.0944,-0.0107,0.0179
Macc1,-0.1259,-0.1153,-0.0487,-0.0381
Sh3gl2,-0.8576,-0.4259,-0.7508,-0.3191
Plekhf1,-0.0786,0.0641,0.0648,0.2076
Cacng6,0.0442,0.0413,-0.0087,-0.0116
1700017D01Rik,-0.0193,-0.0235,0.0371,0.0329
1700020O03Rik,-0.0199,-0.0038,-0.0144,0.0017
Ocln,-0.0438,-0.0846,-0.0916,-0.1324
Plch1,0.015,0.0093,-0.0351,-0.0408
Klhdc3,-0.0396,0.0687,-0.2872,-0.1788
Fgfbp1,-0.4456,-0.4364,-0.2997,-0.2905
Armc10,-0.1902,-0.2343,-0.0435,-0.0875
Wdr7,-0.0567,-0.0606,-0.1526,-0.1565
Myo18a,0.2733,0.3255,0.28,0.3323
2900073G15Rik,-0.2159,-0.4819,-0.1364,-0.4024
Mecom,-0.0378,-3.80E-04,0.0024,0.0399
Muc19,-0.0546,0.0047,-0.0304,0.0289
Pebp4,-0.0286,0.0325,-0.0297,0.0315
Osgepl1,0.0081,-0.0382,-0.0039,-0.0502
Fbxw11,0.009,0.0226,0.0076,0.0212
Fam73a,-0.2069,-0.256,-0.0378,-0.0869
Dtwd1,-0.2253,-0.1086,-0.4248,-0.3081
Pik3r4,-0.0327,-0.0575,0.053,0.0283
1700029F12Rik,-0.0078,-0.0489,0.004,-0.0371
Fam103a1,-0.1624,-0.0814,-0.1044,-0.0234
Vnn3,-0.0223,0.0221,-0.0155,0.0289
Bok,-0.3836,-0.4937,-0.6611,-0.7712
Rrad,-0.091,-0.0975,-0.0988,-0.1053
Nanos1,-0.0882,-0.0285,-0.0948,-0.035
Cldn16,-0.077,-0.0519,-0.003,0.0221
Ralgapa2,0.0647,0.0639,0.0014,5.45900279702138E-4
Wibg,-0.0464,-0.0433,0.1864,0.1895
Atp6v1b1,-0.0974,-0.0287,-0.03,0.0386
Zfp658,-0.0571,-0.0626,-0.0304,-0.0358
Serpinf2,-0.0097,0.0654,-0.0212,0.0539
Ccl21c,0.0126,0.0713,-0.0173,0.0414
Zcchc6,0.3285,0.204,0.1368,0.0123
Ccdc25,-0.0891,0.1098,-0.0973,0.1016
Morc2b,-0.0701,0.0477,-0.0382,0.0796
Pttg1,0.07,-0.0313,0.0306,-0.0708
Acad10,0.2118,0.1444,0.1591,0.0917
Armcx6,-0.1272,-0.1378,-0.0905,-0.1011
AC164004.1,0.0207,-0.2047,0.0991,-0.1263
Pard6g,-0.0566,-0.3734,-0.0056,-0.3224
Heg1,0.0134,0.0595,-0.0344,0.0117
Ctsh,-0.0996,-0.1036,-0.0282,-0.0323
Eif5,-0.0162,0.1346,0.0645,0.2153
Cfdp1,0.1051,0.0302,-0.0763,-0.1512
AL772348.3,0.0594,0.0057,0.03,-0.0237
Pou5f1,-0.4713,-0.4782,-0.3214,-0.3282
Capn1,0.0308,0.0559,-0.0313,-0.0063
Cacng8,-0.003,-0.0134,0.0315,0.0212
Ppard,0.111,0.2274,0.1063,0.2227
Pik3c2b,0.1065,-0.2217,0.0587,-0.2695
Gpr174,0.0205,-0.0085,0.0289,-1.50586526055818E-4
Cox8b,-0.0227,0.0546,-0.0012,0.0761
Ccdc91,-0.2406,-0.1514,-0.2839,-0.1947
Rcn2,-0.0532,-0.0285,-0.0408,-0.0161
Il6ra,-0.0329,-0.0105,-0.0311,-0.0087
Abca3,0.0609,0.0334,0.0068,-0.0207
D6Ertd474e,-0.1082,-0.0691,-0.0374,0.0018
