genes,adjP(Z6/E14Tg2a),adjP(OKO160/E14Tg2a),adjP(Z6/OctGip),adjP(OKO160/OctGip)
Luc7l2,0.9899,0.2563,0.9941,0.289865536
Polr3a,0.6057,0.79,0.2146,0.340666672
Ostc,0.6086,0.98,0.5885,0.979349456
Tspan32,0.235,0.0464,0.272,0.045790636
Stk39,0.4364,0.0691,0.5644,0.089053961
Ppp1r15a,0.8579,0.4863,0.3086,0.079715421
Krt6a,0.9245,0.8931,0.5759,0.826446155
Cdh13,0.5121,0.4344,0.9783,0.955090487
Rag2,0.9894,0.9757,0.8534,0.800984998
Ahsa2,0.5664,0.8752,0.3365,0.957159888
Nrap,0.9513,0.6582,0.9438,0.759737834
Epn2,0.9718,0.1203,0.0509,8.95877817955627E-4
Serpine1,0.9921,0.8141,0.9166,0.980434126
Tgif1,0.9443,0.093,0.8832,0.318969927
4921511C20Rik,0.9866,0.9917,0.2595,0.254251163
Sncb,0.8587,0.966,0.5568,0.687640121
Cideb,0.7669,0.966,0.7413,0.924069978
Alg9,0.4055,0.1309,0.6523,0.251948973
Cdc37l1,0.0089,0.1314,0.1054,0.725571957
Nmt1,0.1948,0.8162,0.4052,0.032284101
AC107815.1,0.9452,0.8353,0.3337,0.643298524
AL731670.2,0.8338,0.7125,0.8843,0.774091671
Olfml3,0.9777,0.7452,0.7813,0.997729058
Ugt8a,0.1709,0.0106,0.5683,0.043935997
Yme1l1,0.7261,0.5406,0.8278,0.909518843
Pde4d,0.1233,0.097,0.3152,0.242925037
BC061194,0.8548,0.5686,0.847,0.985562972
Slc7a12,0.9483,0.9414,0.6414,0.601555052
Olfr830,0.9361,0.1924,0.9954,0.321643797
Ngfr,0.64,0.0187,0.7125,0.017816544
Macrod1,0.5669,0.487,0.3049,0.231563372
Fgl1,0.9364,0.575,0.9259,0.894990287
Abhd15,0.9026,0.6978,0.7989,0.549311412
Krtap12-1,0.7983,0.7672,0.9891,0.993027823
Sfrs5,0.8893,0.6644,0.9547,0.780171015
Ctdsp2,0.1015,0.0465,0.0113,0.004344841
Myocd,0.9908,0.5214,0.9209,0.752475992
Hadhb,0.7309,0.5352,0.8975,0.976312594
Adamts15,0.9393,0.9678,0.9275,0.780606766
AC015800.2,0.076,0.017,0.9252,0.571116128
Prkar1a,0.9186,0.4802,0.7625,0.799273687
Itpripl2,0.8544,0.7581,0.9564,0.447911421
Mta1,0.141,0.5829,0.496,0.962165564
Fam65a,0.0481,0.1854,0.0515,0.180180383
Hist1h2aa,0.6443,0.4147,0.96,0.965143658
AC068609.1,0.7537,0.1797,0.6768,0.318092207
1700086D15Rik,0.6808,0.2627,0.838,0.2221477
Azi1,0.174,0.4227,0.5683,0.852293698
AC163337.3,0.9699,0.7941,0.9975,0.874368903
Zfp281,0.2236,0.1471,0.4832,0.335928502
Wbp2nl,0.552,0.6654,0.8337,0.902060327
Sh3pxd2a,0.9174,0.1701,0.7849,0.697845359
Socs2,0.2598,0.8772,0.5994,0.962057845
Si,0.7028,0.9414,0.2027,0.624526226
Nxph3,0.9155,0.9738,0.9167,0.964226098
Mdn1,0.9489,0.7764,0.5259,0.283454965
Lrrc16b,0.9428,0.8584,0.9202,0.826767605
Ccdc9,0.9994,0.5111,0.9319,0.735338741
Gpr84,0.8585,0.4932,0.3113,0.621359749
Zmym1,0.8286,0.6217,0.9945,0.895782041
Msh6,0.6373,0.4247,0.8094,0.599159047
Ptger2,0.9867,0.3629,0.1818,0.76591455
Dnajb3,0.9347,0.8858,0.8106,0.978402816
Spnb1,0.6523,0.1982,0.8631,0.358201347
Mgat2,0.6335,0.8896,0.6359,0.860847177
Orm3,0.7339,0.8913,0.9292,0.991031207
Brd2,0.7003,0.2126,0.1094,0.956980586
Zfp710,0.4058,0.6916,0.86,0.99483872
Tsta3,0.965,0.9986,0.804,0.825865581
Daxx,0.6514,0.9599,0.7359,0.975125715
Tgfb3,0.7832,0.8046,0.8619,0.819319228
E330034G19Rik,0.9422,0.6437,0.9861,0.636898652
Safb2,0.9521,0.1535,0.9909,0.109681891
Hist1h2ba,0.7499,0.9264,0.971,0.811631773
Ascl2,0.9731,0.5058,0.8666,0.872732999
Serinc2,0.7718,0.3528,0.6461,0.614864541
Abcf3,0.0609,0.4486,0.1652,0.741216007
Bak1,0.7061,0.4811,0.6301,0.383700475
Mme,0.9568,0.2708,0.5218,0.849523106
Lrrc20,0.8135,0.9738,0.64,0.894521326
Pnma2,0.0425,0.0951,0.0048,0.699070826
Cd34,0.6604,0.9794,0.9109,0.439347013
Olfr806,0.4425,0.584,0.7748,0.876307293
Rhobtb2,0.2934,3.81495946092867E-4,0.7736,1.17085125430499E-4
Olfr1494,0.8721,0.9955,0.8722,0.983638799
6530401N04Rik,0.9278,0.8316,0.8766,0.761922682
Lyg2,0.8694,0.7259,0.7221,0.8090249
Syt17,0.8997,0.9544,0.9209,0.691415418
Rictor,0.6141,0.901,0.9002,0.709571277
Mphosph6,0.658,0.8213,0.9994,0.907766539
Abcg2,0.9707,0.9234,0.9304,0.961748897
Prkcc,0.9153,0.9549,0.7482,0.771540028
Fga,0.9381,0.8071,0.994,0.918393886
Olfr934,0.9604,0.9275,0.9274,0.759737834
Esx1,0.9128,0.8932,0.9454,0.932872168
Adprhl1,0.3086,0.0188,0.7145,0.067146921
Igf2r,0.7483,0.9196,0.8167,0.945340398
Ceacam12,0.6822,0.6647,0.3899,0.355834682
D830039M14Rik,0.9953,0.5638,0.9356,0.447911421
Shc4,0.124,0.42,0.7675,0.983714817
Fmc1,0.9381,0.1992,0.9007,0.542867348
Gm5464,0.3933,0.6125,0.9237,0.975125715
Rab39b,0.9821,0.8263,0.9965,0.824783503
Stard3,0.5545,0.0637,0.8709,0.682725262
Fsd2,0.9934,0.9316,0.9575,0.996692952
Zfp574,0.876,0.6958,0.9523,0.819403632
AL669819.7,0.8306,0.4513,0.9634,0.853741716
Cpsf1,0.8179,0.0963,0.7517,0.690693206
Cpa3,0.9215,0.4027,0.1568,0.834219016
Orc2l,0.659,0.2429,0.8477,0.953830143
Kcnk12,0.8689,0.7262,0.6924,0.964575313
Ly96,0.2283,0.122,0.7647,0.552034802
Pawr,0.967,0.6012,0.8846,0.926476101
Pla2g4e,0.8869,0.4893,0.921,0.561137622
Ppapdc2,0.2254,0.1519,0.712,0.570947462
A930005I04Rik,0.8018,0.627,0.6413,0.440595872
V1rc22,0.9894,0.9005,0.8859,0.956530697
Vps13c,0.7133,0.637,0.8278,0.645802556
Cfd,0.3179,0.3618,0.9579,0.901145905
Npepl1,0.0246,0.0181,0.0512,0.030508622
Trp53i13,0.6945,0.9266,0.6525,0.99820686
Impdh2,0.9124,0.9819,0.9252,0.979683191
Clec2h,0.9449,0.9646,0.9564,0.970156601
Ankrd2,0.9856,0.7881,0.8253,0.992897719
Ctu2,0.8432,0.5068,0.4673,0.170869702
Olfr805,0.9473,0.9757,0.9967,0.929182551
Gm5113,0.8292,0.7454,0.9486,0.976325629
Zmym5,0.5584,0.4607,0.5835,0.472634571
AC129601.2,0.6356,0.6367,0.828,0.814495196
BC024479,0.7584,0.8306,0.9555,0.417733605
Cdc42ep2,0.1816,0.7245,0.1085,0.555811271
Znrf4,0.8809,0.8199,0.731,0.632317649
Olfr723,0.9593,0.7413,0.8799,0.918873031
Khdrbs2,0.721,0.8607,0.9145,0.759294192
Ccdc86,0.819,0.3702,0.8585,0.437210162
Ttll8,0.7716,0.945,0.9316,0.736489808
Bglap-rs1,0.9949,0.097,0.8747,0.262256953
Ddx49,0.6139,0.9473,0.8694,0.276873866
Bhmt2,0.0231,0.6022,0.1342,0.992766386
AC165079.1,0.9445,0.2262,0.4574,0.97236272
Brms1,0.9911,0.6812,0.6525,0.935883591
Nlrp1a,0.8604,0.8255,0.653,0.590952264
Tmem90a,0.4508,0.2333,0.8677,0.632669355
AI848100,0.9821,0.6022,0.9802,0.645802556
Polr2h,0.2413,0.7305,0.8092,0.914469108
Slc24a3,0.8214,0.9059,0.9612,0.805361629
Zfp691,0.5541,0.3059,0.8446,0.59270635
Arrdc3,0.0569,0.2032,0.0898,0.281298329
Zfp97,0.5662,0.7259,0.6782,0.805520158
Fbxo45,0.9934,0.1255,0.5761,0.014948247
Rnf14,0.4253,0.4145,0.9593,0.964226098
Gm4776,0.4383,0.9255,0.6521,0.995122091
Slc2a4,0.9428,0.9907,0.9679,0.886370535
Il1rapl1,0.5657,0.4472,0.9791,0.935262084
Evc,0.0157,0.1686,0.1363,0.714977891
Ear5,0.2986,0.2168,0.938,0.868343079
Rpl9,0.8637,0.9841,0.9281,0.968355643
Dennd5a,0.2339,0.8298,0.9704,0.564227711
Fetub,0.9548,0.6903,0.3301,0.106570103
Pcp2,0.7272,0.9243,0.7337,0.978402816
Wipi1,0.9703,0.6148,0.9876,0.658251847
Lgals4,0.816,0.0235,0.6027,0.007953553
Fam125a,0.8126,0.6763,0.8733,0.752117528
P2rx3,0.9429,0.872,0.9438,0.871811061
7420416P09Rik,0.0377,0.0133,0.0398,0.010819842
BC048679,0.245,0.1478,0.63,0.441669097
Slc39a13,0.8109,0.2482,0.9438,0.412940657
Cdk19,0.0547,0.0428,0.2495,0.191814614
Tslp,0.9616,0.5723,0.611,0.938286874
4930583K01Rik,0.9755,0.9387,0.8067,0.81532969
Dlgap5,0.4585,0.4607,0.9122,0.921838836
Rpa1,0.4302,0.1076,0.8006,0.309314628
Rpusd4,0.4271,0.064,0.8243,0.218382086
Pms1,0.5982,0.5557,0.8278,0.779405771
Frmd3,0.7583,0.6659,0.8756,0.905840206
Nr1d2,0.0041,0.0245,0.6045,0.999499514
Etaa1,0.9312,0.6521,0.8658,0.556335718
Rpe65,0.6787,0.7868,0.9909,0.375248923
Gm853,0.926,0.6783,0.8818,0.830762747
Nxph1,0.5565,0.8402,0.9142,0.953852847
Adcyap1r1,0.8318,0.8395,0.9554,0.964130338
AL935159.1,0.921,0.7431,0.9416,0.981993199
B3gnt1,0.2872,0.5146,0.9518,0.935434941
1700010M22Rik,0.9494,0.8928,0.6749,0.706731783
AC155659.1,0.7697,0.9276,0.9338,0.981430418
Tspan8,0.1555,0.0417,0.2021,0.046307425
Slc6a2,0.9186,0.809,0.96,0.874452525
P2ry10,0.7146,0.7026,0.4646,0.974297774
1700074P13Rik,0.7951,0.9864,0.8818,0.990864112
Dmxl1,0.3164,0.4771,0.8933,0.99060454
Gm5662,0.5669,0.7426,0.9509,0.975125715
B3galt1,0.7013,0.8872,0.8568,0.973565621
4930520K10Rik,0.9548,0.9635,0.9646,0.975555509
Dnajc12,0.3526,0.2489,0.4602,0.322939908
Stx16,0.573,0.4554,0.8245,0.709884177
Fbxl13,0.4243,0.9282,0.9611,0.684662613
Ncf2,0.0133,0.2458,0.1655,0.901145905
Tapbpl,0.9691,0.7348,0.9874,0.685977115
Olfr804,0.6099,0.6323,0.8793,0.816777383
Oaz3,0.9814,0.7567,0.96,0.91347539
Clca3,0.8456,0.655,0.9049,0.682787037
2310044H10Rik,0.4578,0.7726,0.9813,0.836079238
Oxct2a,0.6168,0.5803,0.3766,0.330442437
AL844849.2,0.8929,0.6978,0.4025,0.052737325
Cwf19l1,0.3748,0.2123,0.3249,0.16146495
Tmem180,0.3158,0.6916,0.3971,0.770460385
BX465839.1,0.8603,0.4998,0.3989,0.988950108
B230118H07Rik,0.3855,0.6116,0.6198,0.819161459
Armcx4,0.0964,0.0982,0.0827,0.070995826
RP24-388B10.9,0.0022,0.1265,0.1503,0.943548856
Sprr2k,0.5373,0.9176,0.795,0.318929313
Cyb5,5.05210296933418E-4,0.0016,0.0022,0.014901533
Zfp84,0.4004,0.0888,0.5466,0.070959071
Cog6,0.0291,0.4016,0.0903,0.730976182
C030030A07Rik,0.828,0.0296,0.9932,0.089762785
Rtn4rl1,0.443,0.4445,0.2595,0.774419923
Lrrn2,0.8985,0.7935,0.998,0.95801113
Cep152,0.3279,0.5406,0.4419,0.665467133
Scn3b,0.8726,0.11,0.8941,0.457246038
Mastl,0.4222,0.7169,0.9237,0.944481007
Chrng,0.7008,0.6524,0.8874,0.84671615
Wtip,0.6417,0.2604,0.9509,0.629621957
Hectd3,0.0616,0.5828,0.4542,0.957472205
Ap1s1,0.0672,0.0278,0.0114,0.003971592
Hbq1,0.7003,0.2683,0.8014,0.330382443
AC079644.2,0.5106,0.3626,0.9299,0.829910285
Dhx40,0.1597,0.9931,0.145,0.956195898
Dtd1,0.0091,0.0535,0.0781,0.360912493
Atf6b,0.0423,0.0115,0.227,0.05743574
Fam69c,0.8607,0.9323,0.9587,0.686203022
Ap3d1,0.0811,0.4624,0.2794,0.835068846
Cdc25a,0.9786,0.8566,0.7306,0.512922245
Rsph3b,0.9831,0.6524,0.3463,0.765687124
Zfp167,0.3899,0.6628,0.3918,0.659317989
Fgf8,0.9039,0.541,0.964,0.846606226
1520401A03Rik,0.2373,0.7322,0.2142,0.688834234
Tnfsf9,0.9278,0.4188,0.7058,0.807874366
Odf3,0.4942,0.7786,0.758,0.95347879
Nisch,0.6359,0.4135,0.6275,0.383197189
Olfr1412,0.9612,0.8197,0.9291,0.922210399
Cetn2,0.3608,0.4406,0.9667,0.992766386
Bat2,0.8631,0.8855,0.6087,0.613453094
Tex22,0.3214,0.8087,0.8779,0.850533866
Limk2,0.9252,0.8137,0.8427,0.966975391
6330403K07Rik,0.0348,0.0016,0.1268,0.004431366
Ctrb1,0.9023,0.7161,0.94,0.983843512
Vapb,0.8929,0.6978,0.4025,0.052737325
Taf1b,0.8436,0.6343,0.8008,0.144827996
Repin1,0.7796,0.6157,0.9447,0.233423835
Ntng1,0.5593,0.0905,0.5456,0.070517779
Mecom,0.9497,0.579,0.9716,0.454780233
Ehd4,0.7583,0.3906,0.9902,0.146367298
Tmem30c,0.9665,0.7936,0.99,0.856945923
2610027L16Rik,0.3755,0.241,0.9145,0.976202423
Prg3,0.9002,0.8257,0.6167,0.942408385
Olfr1357,0.8259,0.9778,0.9751,0.864345793
Tax1bp1,0.9362,0.7101,0.5016,0.919087575
1700010B08Rik,0.8405,0.9,0.9052,0.816104749
Fam199x,0.9917,0.3452,0.7747,0.774359588
Ogfod1,0.9235,0.9868,0.896,0.740450158
Gm561,0.6765,0.5165,0.9354,0.831046221
AC098881.2,0.9789,0.5046,0.6232,0.989974582
Gpr149,0.9048,0.4135,0.9431,0.446158958
Jarid2,0.2084,0.8481,0.7793,0.804230526
Slc25a38,0.2714,0.9005,0.3098,0.918393886
Timp3,0.3053,0.0232,0.0253,0.001617053
Rpl36al,0.5246,0.0253,0.9098,0.102256315
Ppp1r1b,0.4988,0.3882,0.9877,0.949280767
Arsg,0.2953,0.1862,0.9594,0.864698038
Itgal,0.8575,0.4322,0.924,0.876307293
Epb4.9,0.3425,0.002,0.2299,0.003971592
Chic1,0.5673,0.1096,0.8573,0.048525853
Zfp462,0.7145,0.7509,0.8818,0.902060327
AL831754.4,0.6084,0.3198,0.9972,0.842663182
C1ql1,0.1937,0.3082,0.9735,0.955084397
Usp46,0.8797,0.2978,0.0582,0.740735439
Scara5,0.7795,0.845,0.7901,0.826569694
Sema4c,0.8221,0.2973,0.7245,0.975555509
Gm2897,0.7333,0.2294,0.9913,0.597610513
Gprin1,0.8894,0.9845,0.4541,0.267131275
Frmpd1,0.6516,0.8704,0.6511,0.948352182
Dpysl2,0.8649,0.6151,0.9839,0.50029771
Csnk2a2,0.6802,0.4659,0.9533,0.978402816
Zmym3,0.1852,0.1826,0.2028,0.184394082
V1rd11,0.6542,0.2131,0.9216,0.84245053
Dact1,0.2571,0.9783,0.6876,0.784409689
2310002L09Rik,0.7726,0.8836,0.9611,0.98539617
4930521A18Rik,0.5755,0.7806,0.9536,0.959546092
Gm5796,0.7333,0.2294,0.9913,0.597610513
Slc25a26,0.6419,0.4067,0.9919,0.876373581
Rhox6,0.1953,0.2082,0.1982,0.193682442
Rbx1,0.9215,0.582,0.96,0.381565491
9030624G23Rik,0.9132,0.4056,0.6412,0.15176399
Neurod2,0.9493,0.9916,0.9131,0.965267058
Clec16a,0.7138,0.1095,0.8293,0.145354199
Timd2,0.4549,0.097,0.9861,0.679853595
Slc16a6,0.794,0.5294,0.8982,0.676065082
Gm382,0.9122,0.684,0.6521,0.831046221
Tnfaip2,0.5198,0.2472,0.8681,0.58845465
B9d1,0.5316,0.7676,0.0489,0.013456228
4933426M11Rik,0.9762,0.6428,0.8926,0.858414246
Med15,0.7512,0.5812,0.8475,0.688435342
Stap1,0.6962,0.9313,0.8036,0.971731167
Prdm1,0.9135,0.9667,0.9594,0.95730654
Txnl4b,0.8986,0.8176,0.974,0.997729058
AC125543.1,0.991,0.8613,0.7721,0.502799291
3110043A19Rik,0.9476,0.5297,0.9629,0.784988735
Spop,0.5478,0.0181,0.3849,0.007843806
Hsd17b2,0.9866,0.9063,0.9291,0.997951192
A530016L24Rik,0.521,0.7782,0.924,0.680489687
Tom1,0.5111,0.4774,0.6876,0.647236498
Zfp146,0.5899,0.9051,0.8362,0.987239442
Trim39,0.4713,0.567,0.9624,0.879494464
AC145199.2,0.1372,0.1337,0.9289,0.929939144
Il10rb,0.7824,0.5526,0.969,0.951025139
Smgc,0.9833,0.64,0.9127,0.897250318
Olfr933,0.9908,0.9325,0.9991,0.963315773
C2cd4a,0.6593,0.9121,0.9594,0.72318305
Ubtd1,0.9612,0.102,0.5229,0.012947275
2610034B18Rik,0.9581,0.5425,0.9684,0.772889315
Ptgdr,0.8995,0.9154,0.9897,0.972558748
Slc7a6,0.1644,0.0047,0.1529,0.00381986
Gm2897,0.7333,0.2294,0.9913,0.597610513
Slc27a3,0.2707,0.0654,0.2875,0.057820237
V1rc2,0.9809,0.8318,0.9674,0.760235384
Qrich1,0.3005,0.8662,0.1912,0.995336946
Slc26a7,0.9298,0.774,0.9784,0.9519238
Rnase1,0.9672,0.896,0.997,0.878904638
Pou2f3,0.8718,0.9864,0.8955,0.720671643
Lgals8,0.7201,0.3618,0.8933,0.961748897
Eif4ebp2,0.9329,0.6578,0.949,0.925511342
Psen1,0.8708,0.7509,0.7902,0.924586211
Memo1,0.0153,0.0893,0.0615,0.293925422
Cdca7,0.0247,0.6773,0.0783,0.453000109
Rab22a,0.9485,0.3558,0.8475,0.624138228
Rpl3,0.8071,0.7754,0.5389,0.483220374
Snrpg,0.4415,0.8399,0.5728,0.913761089
Marco,0.8209,0.9931,0.5206,0.748473292
Lrrc4c,0.9263,0.9467,0.9916,0.853536145
Sult1c1,0.6931,0.6843,0.7858,0.716712757
Kif18b,0.3432,0.6438,0.4001,0.005493461
Rasgrf1,0.4267,0.1188,0.7768,0.316353861
Eps8l3,0.1807,0.1591,0.9654,0.955845633
Fbxo44,0.0017,1.60070885620071E-4,0.0426,0.001687916
Amz2,0.0081,0.1831,0.0333,0.518768788
Ankrd50,0.7412,0.0831,0.977,0.028351516
Vamp1,0.9547,0.5446,0.8619,0.401024565
1110034B05Rik,0.943,0.8294,0.9345,0.620703639
Lig1,0.8736,0.1391,0.9371,0.185105589
Itgb8,0.8388,0.9876,0.661,0.831046221
Ccdc74a,0.8893,0.3198,0.9929,0.54116198
Agrp,0.0206,0.6487,0.0106,0.442939517
Nlrp9b,0.7586,0.7145,0.747,0.681070396
5730410E15Rik,0.979,0.5987,0.9438,0.831046221
Pfkfb1,0.6605,0.942,0.929,0.917456928
Ldb3,0.3414,0.2748,0.9888,0.965097111
Klb,0.3732,0.2255,0.8816,0.728734765
Fgg,0.91,0.9904,0.8409,0.914462302
Tor1b,0.6239,0.9778,0.9545,0.57826893
Ncald,0.4778,0.79,0.7978,0.983723782
Elane,0.7265,0.9194,0.9984,0.864529895
Slc6a13,0.6057,0.4525,0.587,0.610722375
Hivep2,0.8365,0.4236,0.8796,0.942310865
A730018C14Rik,0.9816,0.7437,0.2835,0.538794792
Olfr803,0.9776,0.85,0.977,0.95403326
9030607L17Rik,0.5132,0.6901,0.4671,0.638073278
Zfp810,0.7605,0.2775,0.9365,0.805181984
Cdx4,0.7556,0.8551,0.8943,0.794378067
Gpr44,0.6361,0.6436,0.9089,0.915066098
Prg2,0.8126,0.9009,0.596,0.941200979
Pspc1,0.7549,0.5716,0.0279,0.381273574
Vbp1,0.1807,0.0161,0.9454,0.319659294
AC132378.1,0.9961,0.5872,0.9799,0.589130198
Sfpq,0.5734,0.8503,0.8057,0.977997284
Pcsk1n,0.8695,0.5284,0.8642,0.983723782
Slc29a2,0.2329,0.8203,0.1494,0.981834416
Prkd3,0.0029,0.0652,0.0041,0.079593611
Gna13,0.3557,0.6484,0.43,0.719526042
Frrs1,0.656,0.9791,0.305,0.749073871
Sephs2,0.1331,0.4092,0.3733,0.755538468
Parp8,0.7873,0.8832,0.8067,0.87128626
Hand2,0.7287,0.5328,0.4474,0.589434596
Slc14a2,0.5758,0.5656,0.9509,0.953825292
Ppp4r1l,0.9016,0.6376,0.8447,0.554079659
Invs,0.4611,0.6643,0.6206,0.792588777
Cdhr3,0.8825,0.579,0.9605,0.905840206
Irak2,0.3681,0.4371,0.7985,0.842037528
AC113486.1,0.9468,0.9625,0.7734,0.565523633
C1d,0.6762,0.9412,0.756,0.95663746
Syk,0.5703,0.8852,0.9634,0.854156472
AC134917.1,0.991,0.8613,0.7721,0.502799291
Dtwd2,0.004,0.0359,0.1576,0.732136079
Fbxo5,0.9319,0.9656,0.9109,0.735481569
Rabl3,0.2951,0.2379,0.7946,0.706731783
Rbm28,0.8627,0.4524,0.4817,0.828885699
Smarcb1,0.6095,0.7643,0.683,0.801426149
Slc22a1,0.0792,0.8549,0.5531,0.735481569
Orm1,0.9356,0.8539,0.9755,0.924248608
4932411N23Rik,0.3444,0.3421,0.9617,0.945588623
9230112D13Rik,0.7687,0.9545,0.9269,0.97125053
Olfr829,0.9227,0.5764,0.818,0.421126895
Sfrs17b,0.4158,0.8609,0.6418,0.771540028
Ppil5,0.0706,0.2555,0.1982,0.534963182
Fmnl2,0.1384,0.2293,0.9822,0.943301936
Cul7,0.2803,0.2411,0.8258,0.76334675
Xrcc6bp1,0.8557,0.8268,0.9674,0.972638421
Agxt2l1,0.5132,0.1343,0.9788,0.730561986
Prmt3,0.6523,0.3034,0.9323,0.643298524
Dexi,0.0768,0.0214,0.1016,0.022681039
Iglon5,0.813,0.8359,0.838,0.762130689
Fdxacb1,0.8303,0.9678,0.7404,0.871397451
Gm2897,0.7333,0.2294,0.9913,0.597610513
Gfap,0.3371,0.6151,0.8799,0.977467299
1810030N24Rik,0.0024,0.1017,0.0012,0.02379278
Gnb1l,0.0042,0.2236,0.4944,0.600215761
Olfr1413,0.977,0.9186,0.5847,0.628327794
Vgf,0.0482,0.0889,0.0762,0.12162429
Agtr1a,0.914,0.0711,0.6698,0.254143576
C1ql2,0.9026,0.9353,0.9712,0.898187955
4933439F11Rik,0.9742,0.4775,0.9451,0.629773986
Fam118b,0.4574,0.4589,0.7584,0.752157994
Olfr722,0.9517,0.8973,0.9888,0.988950108
Ndrg1,0.8993,0.1924,0.8994,0.186325287
Ankrd60,0.8277,0.2122,0.9965,0.499278251
Olfr828,0.7609,0.8939,0.9687,0.852446408
AC142167.1,0.1379,0.0696,0.8975,0.732220558
Ccdc84,0.6362,0.2527,0.8969,0.523364675
Palb2,0.9731,0.8497,0.2631,0.086537359
Btbd9,0.1271,0.5703,0.8634,0.817737495
Slc43a3,0.5589,0.9732,0.8568,0.899825814
Spsb2,0.7749,0.6319,0.7291,0.805516987
Myo10,0.0934,0.0776,0.8447,0.784409689
Dzip3,0.1907,0.5247,0.8687,0.935434941
Snrnp48,0.3157,0.6319,0.9634,0.687371303
Diras2,0.3301,0.5111,0.9216,0.988950108
Slc35b1,0.7852,0.0814,0.1766,0.680357218
Sypl,0.8208,0.2029,0.8964,0.262380034
Abpa,0.635,0.1301,0.9564,0.659793965
Olfr1491,0.9614,0.9684,0.9888,0.99483872
Plxna3,0.8585,0.9974,0.951,0.961936054
Api5,0.9208,0.9776,0.9431,0.984006818
AC140331.1,0.601,0.6728,0.9768,0.924069978
Zbtb32,0.5755,0.1343,0.9789,0.671821454
Atg3,0.7664,0.8396,0.9301,0.846447798
1700021F07Rik,0.8276,0.6551,0.8008,0.804852699
Sprr2j-ps,0.9128,0.622,0.7617,0.417229558
Zdhhc9,0.7495,0.4216,0.9089,0.628934179
Ccdc103,0.9742,0.4775,0.9451,0.629773986
Dbr1,0.9607,0.9335,0.8293,0.81732304
Camp,0.244,0.4135,0.6247,0.800929348
Rrn3,0.0425,0.1482,0.6985,0.967321031
Rgs9,0.9994,0.666,0.774,0.99483872
Apoc3,0.8158,0.7677,0.951,0.963839687
Zfp820,0.6981,0.3556,0.9572,0.703181139
Bmp8a,0.9124,0.85,0.4126,0.310505222
Npas4,0.531,0.6937,0.6876,0.819403632
Arpc1b,0.017,0.4461,0.2648,0.946150566
Nop58,0.689,0.8087,0.9965,0.930671914
Gm136,0.8493,0.8124,0.9472,0.955084397
V1rc25,0.9678,0.9279,0.9579,0.821631806
Cdh16,0.3685,0.9933,0.146,0.76181675
Atg10,0.973,0.7142,0.4312,0.812996894
Pycrl,0.5749,0.4101,0.4173,0.258068726
AC155252.1,0.5816,0.7605,0.7008,0.454780233
Gm1568,0.1129,0.499,0.5189,0.964209728
Pnck,0.9485,0.4624,0.4137,0.06976734
Ebag9,0.8611,0.9521,0.9775,0.971239209
Rnase6,0.8565,0.9287,0.4841,0.570505119
AC168071.1,0.8729,0.8051,0.9255,0.466422686
Hist1h2ai,5.05210296933418E-4,2.65613144358094E-4,0.5669,0.6104016
RP23-16O15.2,0.6612,0.1274,0.9119,0.713122106
Tjp2,0.8472,0.5612,0.8933,0.63634932
Snrpa,0.8306,0.6916,0.9881,0.516066977
Gm5468,0.924,0.156,0.9252,0.152920389
V1rc33,0.1169,0.2872,0.7758,0.970015713
Mtrf1l,0.7139,0.7491,0.9614,0.510638788
Golga2,0.9834,0.7585,0.8154,0.997951192
E030025P04Rik,0.9915,0.9041,0.6823,0.503078996
Ankrd34c,0.9838,0.7776,0.8803,0.967306466
Cep63,0.4255,0.142,0.6567,0.926458486
Rnf166,0.8076,0.6092,0.8843,0.626019811
Bst2,0.8897,0.8069,0.8799,0.79027197
Phka2,0.9853,0.3959,0.8478,0.784262387
5730419I09Rik,0.469,0.0252,0.0566,0.002028803
Tdrd3,0.046,8.67394573401414E-5,0.0776,6.04918603407322E-5
Thada,0.3336,0.684,0.0097,0.398040019
Magea9,0.8493,0.859,0.9876,0.997435694
H2-Oa,0.6256,0.785,0.9858,0.877376319
Slc17a4,0.7719,0.5643,0.9888,0.935262084
Lrrc1,0.4731,0.4863,0.3604,0.356641691
BC061237,0.4485,0.5459,0.8398,0.689830948
Pla2g15,0.6925,0.6787,0.5182,0.0316804
1700066M21Rik,0.9174,0.5885,0.9454,0.665665864
Capns2,0.1107,0.7766,0.7842,0.694611845
AC161758.2,0.6981,0.9429,0.8337,0.99265391
Tmem70,0.8956,0.4293,0.9484,0.207694588
Mobkl2a,0.3041,0.9729,0.6901,0.840746772
Olfr1490,0.871,0.9767,0.9576,0.979845022
RP23-329B21.1,0.7253,0.3434,0.8291,0.992766386
Csf2rb,0.4802,0.1656,0.8435,0.981828035
RP24-388B10.4,0.0022,0.1265,0.1503,0.943548856
Add3,0.1032,0.3353,0.1485,0.428585684
Man1a,0.0451,0.0901,0.5761,0.75615798
Ncaph2,0.7937,0.4352,0.9098,0.601140733
Lpar4,0.0405,0.0034,0.0321,0.0024199
Olfr1414,0.5045,0.1624,0.8681,0.456940069
Pmepa1,0.3641,0.4549,0.2238,0.280754181
Smap1,0.8621,0.558,0.7046,0.363344374
Tmcc1,0.5154,0.5611,0.846,0.339091464
Ube2g2,0.6223,0.8665,0.9929,0.421166993
4430402I18Rik,0.9612,0.3276,0.5136,0.914922381
